  t=    10s  fill_milk        (in_progress, conf 0.60)
  t=    20s  fill_milk        (in_progress, conf 0.75)
  t=    30s  fill_milk        (in_progress, conf 0.85)
  t=    40s  add_chocolate    (in_progress, conf 0.85)
  t=    50s  fill_milk        (in_progress, conf 0.90)
  t=    60s  add_sugar        (in_progress, conf 0.85)
  t=    70s  fill_milk        (in_progress, conf 0.85)
  t=    80s  microwave_initial (in_progress, conf 0.85)
  t=    90s  microwave_initial (in_progress, conf 0.90)
  t=   100s  other            (uncertain, conf 0.40)
  t=   110s  other            (uncertain, conf 0.60)
  t=   120s  other            (uncertain, conf 0.60)
  t=   130s  other            (uncertain, conf 0.40)
  t=   140s  other            (uncertain, conf 0.40)
  t=   150s  other            (uncertain, conf 0.40)
  t=   160s  add_cinnamon     (in_progress, conf 0.85)
  t=   170s  add_cinnamon     (in_progress, conf 0.90)
  t=   180s  add_cinnamon     (in_progress, conf 0.95)
  t=   190s  add_cinnamon     (in_progress, conf 0.90)
  t=   200s  add_cinnamon     (in_progress, conf 0.85)
  t=   210s  add_chocolate    (in_progress, conf 0.95)
  t=   220s  add_chocolate    (in_progress, conf 0.95)
  t=   230s  add_chocolate    (in_progress, conf 0.85)
  t=   240s  other            (uncertain, conf 0.60)
  t=   250s  other            (uncertain, conf 0.60)
  t=   260s  other            (uncertain, conf 0.40)
  t=   270s  add_sugar        (in_progress, conf 0.85)
  t=   280s  other            (in_progress, conf 0.85)
  t=   290s  mix              (in_progress, conf 0.90)
  t=   300s  PARSE FAIL / ReadTimeout: HTTPConnectionPool(host='saltyfish.eecs.umich.edu', port=8000): Read timed out. (read timeout=120)
  t=   310s  mix              (in_progress, conf 0.85)
  t=   320s  mix              (in_progress, conf 0.90)
  t=   330s  mix              (in_progress, conf 0.95)

Done: 33 calls, 0 assistant actions, parse failures 1. Wrote /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_25/summary.json and /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_25/calls.jsonl
