  t=    10s  fill_milk        (in_progress, conf 0.80)
  t=    20s  other            (uncertain, conf 0.60)
  t=    30s  fill_milk        (in_progress, conf 0.85)
  t=    40s  fill_milk        (in_progress, conf 0.85)
  t=    50s  fill_milk        (in_progress, conf 0.85)
  t=    60s  microwave_initial (in_progress, conf 0.90)
  t=    70s  microwave_initial (in_progress, conf 0.95)
  t=    80s  microwave_initial (in_progress, conf 0.95)
  t=    90s  PARSE FAIL / ReadTimeout: HTTPConnectionPool(host='saltyfish.eecs.umich.edu', port=8000): Read timed out. (read timeout=120)
  t=   100s  microwave_initial (in_progress, conf 0.95)
  t=   110s  other            (uncertain, conf 0.40)
  t=   120s  add_cinnamon     (in_progress, conf 0.85)
  t=   130s  add_cinnamon     (in_progress, conf 0.90)
  t=   140s  add_cinnamon     (in_progress, conf 0.85)
  t=   150s  other            (uncertain, conf 0.60)
  t=   160s  other            (in_progress, conf 0.85)
  t=   170s  other            (in_progress, conf 0.90)
  t=   180s  microwave_initial (in_progress, conf 0.85)
  t=   190s  other            (uncertain, conf 0.60)
  t=   200s  other            (uncertain, conf 0.50)
  t=   210s  other            (uncertain, conf 0.50)
  t=   220s  other            (uncertain, conf 0.40)
  t=   230s  microwave_initial (in_progress, conf 0.85)
  t=   240s  other            (uncertain, conf 0.60)
  t=   250s  other            (uncertain, conf 0.60)
  t=   260s  other            (uncertain, conf 0.60)

Done: 26 calls, 0 assistant actions, parse failures 1. Wrote /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_31/summary.json and /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_31/calls.jsonl
