  t=    10s  other            (uncertain, conf 0.60)
  t=    20s  other            (uncertain, conf 0.60)
  t=    30s  other            (uncertain, conf 0.40)
  t=    40s  other            (uncertain, conf 0.60)
  t=    50s  add_sugar        (in_progress, conf 0.85)
  t=    60s  add_sugar        (in_progress, conf 0.85)
  t=    70s  other            (in_progress, conf 0.90)
  t=    80s  other            (uncertain, conf 0.60)
  t=    90s  other            (uncertain, conf 0.60)
  t=   100s  microwave_initial (in_progress, conf 0.85)
  t=   110s  other            (uncertain, conf 0.40)
  t=   120s  microwave_initial (in_progress, conf 0.85)
  t=   130s  other            (uncertain, conf 0.40)
  t=   140s  other            (uncertain, conf 0.40)
  t=   150s  other            (uncertain, conf 0.40)
  t=   160s  other            (uncertain, conf 0.40)
  t=   170s  other            (uncertain, conf 0.40)
  t=   180s  other            (uncertain, conf 0.40)
  t=   190s  microwave_initial (in_progress, conf 0.85)
  t=   200s  other            (uncertain, conf 0.40)
  t=   210s  other            (uncertain, conf 0.40)
  t=   220s  add_chocolate    (in_progress, conf 0.85)
  t=   230s  other            (uncertain, conf 0.40)
  t=   240s  other            (uncertain, conf 0.40)
  t=   250s  other            (uncertain, conf 0.40)
  t=   260s  other            (uncertain, conf 0.40)

Done: 26 calls, 0 assistant actions, parse failures 0. Wrote /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_50/summary.json and /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_50/calls.jsonl
