
========== recognition_i10 ==========
rid    actAcc  acc(excl-other)  reached_end final/N  maxDwell
8_11    0.743           0.797   None        -/-      -
8_15    0.701           0.858   None        -/-      -
8_16    0.852           0.877   None        -/-      -
8_19    0.836           0.846   None        -/-      -
8_20    0.698           0.818   None        -/-      -
8_25    0.864           0.905   None        -/-      -
8_26    0.439           0.457   None        -/-      -
8_3     0.656           0.672   None        -/-      -
8_30    0.854           0.877   None        -/-      -
8_31    0.756           0.839   None        -/-      -
8_33    0.546           0.567   None        -/-      -
8_35    0.472           0.503   None        -/-      -
8_40    0.242           0.254   None        -/-      -
8_44    0.407           0.434   None        -/-      -
8_45    0.521           0.543   None        -/-      -
8_50    0.194           0.201   None        -/-      -
POOL    0.630           0.672   

========== criteria_i10 ==========
rid    actAcc  acc(excl-other)  reached_end final/N  maxDwell
8_11    0.376           0.404   False       2/7      32
8_15    0.381           0.467   False       5/7      19
8_16    0.781           0.804   True        7/7      7
8_19    0.299           0.302   False       4/7      18
8_20    0.457           0.535   False       4/7      16
8_25    0.293           0.307   False       2/7      37
8_26    0.357           0.371   False       2/7      27
8_3     0.510           0.522   False       4/7      11
8_30    0.271           0.279   False       2/7      26
8_31    0.415           0.460   False       4/7      10
8_33    0.139           0.142   False       2/7      25
8_35    0.412           0.438   False       3/7      15
8_40    0.152           0.159   False       0/7      39
8_44    0.157           0.166   False       2/7      26
8_45    0.120           0.123   False       2/7      24
8_50    0.099           0.102   False       2/7      16
POOL    0.343           0.366   stalled 15/16
